SHAW HARDWOOD MASTER SPREADSHEET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERNAL USE ONLY,,,Updated 1/12/2026,,,,,,,SHAW FLOORS RETAIL,,,,SHAW BUILDER FLOORING,,,,ALIGNED,,,,PRODUCT SPECS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RETAIL MOLDINGS / TRIMS,,,,,,,,BUILDER MOLDINGS / TRIMS,,,,,,,,,
Construction,Collection / Grouping,Canadian Approved,Launch Date,Country of Origin,Product Category,Product Description,Style Status,Inventory Style #,Inventory Color #,Shaw Retail Style #,Shaw Retail Style Name,Color #,Shaw Color Name,Shaw Builder Style #,Shaw Builder Flooring Style Name,Color #,Shaw Builder Flooring Color Name,SFN Style #,SFN Style Name,SDC Style #,SDC Style Name,Species,Core,Backing Layer Species,Color & Character Variation Rating,Light Sensitive,Radiant Heat Approved,Cradle 2 Cradle Certified,GREENGUARD Certified,T & G Glue/Glueless,Surface Texture,Grade,Installation Method,Installation Grade,Recommended Adhesives,Plys,Bevel Edges,Bevel Ends,Gloss Level,Finish,Color Family,Color Shade,Fumed - Y/N,Nominal Face Thickness - inches,Nominal Face Thickness - mm,Face Type,Nominal Overall Thickness - Inches,Nominal Overall Thickness - mm,Width - inches,Length - inches,Weight per Carton (lbs),Weight per Pallet,Planks per Carton,Direct Warranty,Builder Warranty,Light Commercial Warranty,Full Commercial Warranty,SQFT per Carton,Cartons per Pallet,SQFT per Pallet,Pallets per Truck,Box Dimensions (L x W x H),Pallet Dimensions (L x W x H),UPC (Box),"Flush Reducer Length 78""","Overlap Reducer Length 78""","Flush Stairnose Length 78""","Overlap Stairnose Length 78""","Square Edge Stairnose Length 78""","Threshold / End Mold / Carpet Reducer Length 78""","T-Molding Length 78""","Quarter Round Length 78""","Flush Reducer Length 78""","Overlap Reducer Length 78""","Flush Stairnose Length 78""","Overlap Stairnose Length 78""","Square Edge Stairnose Length 78""","Threshold / End Mold / Carpet Reducer Length 78""","T-Molding Length 78""","Quarter Round Length 78""",Retail Additional Options,Builder Additional Options
Duras / Epic Plus,Epic+,Y,Q4 2016,USA,W2,"3/8"" x 3 1/4"" Engineered Smooth Oak",A,0293W,7011,SW581,"Albright Oak 3.25""",7011,Chocolate,HW581,"All In II 3.25""",7011,Chocolate,SA489,"Arden Oak 3 1/4""",N/A,N/A,Red Oak,Stabilitek - HDF,Red Oak,High,No,Yes,Yes,Yes,Glue,Smooth,Rustic,Nail / Staple / Glue / Float,Above / On / Below,35MC,3,Micro Bevel Edge,Micro Bevel Ends,20%,ScufResist Platinum,Brown,Dark,No,"1/16""",1.2mm,Rotary,"3/8""",8.2mm,"3 1/4""","Random lengths from 10"" to 58.5""",33,1980,Random,Lifetime,50 Year,5 Year,5 Year,23.76,60,1425.6,20,"59"" x 10 3/4"" x 2""","62"" x 44"" x 40.5""",190402019066,SFR18,SRO18,SFS18,SSO18,N/A,SCR18,SWTM8,SQTR8,HFR18,HRO18,HFS18,HSO18,N/A,HCR18,HWTM8,HQTR8,"SW582 - Albright Oak 5""","HW582 - All In II 5"""
Duras / Epic Plus,Epic+,Y,Q1 2021,USA,W2,"3/8"" x 3 1/4"" Engineered Smooth Oak",A,0352W,7087,SW581,"Albright Oak 3.25""",7087,Flax Seed - Low Gloss,HW581,"All In II 3.25""",7087,Flax Seed - Low Gloss,N/A,N/A,N/A,N/A,Red Oak,Stabilitek - HDF,Red Oak,High,No,Yes,Yes,Yes,Glue,Smooth,Rustic,Nail / Staple / Glue / Float,Above / On / Below,35MC,3,Micro Bevel Edge,Micro Bevel Ends,7%,ScufResist Platinum,Brown,Medium,No,"1/16""",1.2mm,Rotary,"3/8""",8.2mm,"3 1/4""","Random lengths from 10"" to 58.5""",33,1980,Random,Lifetime,50 Year,5 Year,5 Year,23.76,60,1425.6,20,"59"" x 10 3/4"" x 2""","62"" x 44"" x 40.5""",190402302694,SFR18,SRO18,SFS18,SSO18,N/A,SCR18,SWTM8,SQTR8,HFR18,HRO18,HFS18,HSO18,N/A,HCR18,HWTM8,HQTR8,"SW582 - Albright Oak 5""","HW582 - All In II 5"""
Duras / Epic Plus,Epic+,Y,Q1 2021,USA,W2,"3/8"" x 3 1/4"" Engineered Smooth Oak",A,0352W,7091,SW581,"Albright Oak 3.25""",7091,Kona - Low Gloss,HW581,"All In II 3.25""",7091,Kona - Low Gloss,N/A,N/A,N/A,N/A,Red Oak,Stabilitek - HDF,Red Oak,High,No,Yes,Yes,Yes,Glue,Smooth,Rustic,Nail / Staple / Glue / Float,Above / On / Below,35MC,3,Micro Bevel Edge,Micro Bevel Ends,7%,ScufResist Platinum,Brown,Dark,No,"1/16""",1.2mm,Rotary,"3/8""",8.2mm,"3 1/4""","Random lengths from 10"" to 58.5""",33,1980,Random,Lifetime,50 Year,5 Year,5 Year,23.76,60,1425.6,20,"59"" x 10 3/4"" x 2""","62"" x 44"" x 40.5""",190402302700,SFR18,SRO18,SFS18,SSO18,N/A,SCR18,SWTM8,SQTR8,HFR18,HRO18,HFS18,HSO18,N/A,HCR18,HWTM8,HQTR8,"SW582 - Albright Oak 5""","HW582 - All In II 5"""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,0,0
Duras / Epic Plus,Epic+,Y,Q4 2016,USA,W2,"3/8"" x 5"" Engineered Smooth Oak",A,0294W,135,SW582,"Albright Oak 5""",135,Rustic Natural,HW582,"All In II 5""",135,Rustic Natural,SA490,"Arden Oak 5""",N/A,N/A,Red Oak,Stabilitek - HDF,Red Oak,High,No,Yes,Yes,Yes,Glue,Smooth,Rustic,Nail / Staple / Glue / Float,Above / On / Below,35MC,3,Micro Bevel Edge,Micro Bevel Ends,20%,ScufResist Platinum,Natural,Light,No,"1/16""",1.2mm,Rotary,"3/8""",8.2mm,"5""","Random lengths from 10"" to 58.5""",34.5,2070,Random,Lifetime,50 Year,5 Year,5 Year,23.66,60,1419.6,20,"59"" x 10 3/4"" x 2""","62"" x 44"" x 40.5""",190402010445,SFR18,SRO18,SFS18,SSO18,N/A,SCR18,SWTM8,SQTR8,HFR18,HRO18,HFS18,HSO18,N/A,HCR18,HWTM8,HQTR8,"SW581 - Albright Oak 3.25""","HW581 - All In II 3.25"""
Duras / Epic Plus,Epic+,Y,Q4 2016,USA,W2,"3/8"" x 5"" Engineered Smooth Oak",A,0294W,223,SW582,"Albright Oak 5""",223,Caramel,HW582,"All In II 5""",223,Caramel,SA490,"Arden Oak 5""",N/A,N/A,Red Oak,Stabilitek - HDF,Red Oak,High,No,Yes,Yes,Yes,Glue,Smooth,Rustic,Nail / Staple / Glue / Float,Above / On / Below,35MC,3,Micro Bevel Edge,Micro Bevel Ends,20%,ScufResist Platinum,Gold,Medium,No,"1/16""",1.2mm,Rotary,"3/8""",8.2mm,"5""","Random lengths from 10"" to 58.5""",34.5,2070,Random,Lifetime,50 Year,5 Year,5 Year,23.66,60,1419.6,20,"59"" x 10 3/4"" x 2""","62"" x 44"" x 40.5""",190402010452,SFR18,SRO18,SFS18,SSO18,N/A,SCR18,SWTM8,SQTR8,HFR18,HRO18,HFS18,HSO18,N/A,HCR18,HWTM8,HQTR8,"SW581 - Albright Oak 3.25""","HW581 - All In II 3.25"""
Duras / Epic Plus,Epic+,Y,Q4 2016,USA,W2,"3/8"" x 5"" Engineered Smooth Oak",A,0294W,543,SW582,"Albright Oak 5""",543,Weathered,HW582,"All In II 5""",543,Weathered,SA490,"Arden Oak 5""",N/A,N/A,Red Oak,Stabilitek - HDF,Red Oak,High,No,Yes,Yes,Yes,Glue,Smooth,Rustic,Nail / Staple / Glue / Float,Above / On / Below,35MC,3,Micro Bevel Edge,Micro Bevel Ends,20%,ScufResist Platinum,Grey,Medium,No,"1/16""",1.2mm,Rotary,"3/8""",8.2mm,"5""","Random lengths from 10"" to 58.5""",34.5,2070,Random,Lifetime,50 Year,5 Year,5 Year,23.66,60,1419.6,20,"59"" x 10 3/4"" x 2""","62"" x 44"" x 40.5""",190402010469,SFR18,SRO18,SFS18,SSO18,N/A,SCR18,SWTM8,SQTR8,HFR18,HRO18,HFS18,HSO18,N/A,HCR18,HWTM8,HQTR8,"SW581 - Albright Oak 3.25""","HW581 - All In II 3.25"""
Duras / Epic Plus,Epic+,Y,Q4 2016,USA,W2,"3/8"" x 5"" Engineered Smooth Oak",A,0294W,780,SW582,"Albright Oak 5""",780,Gunstock,HW582,"All In II 5""",780,Gunstock,SA490,"Arden Oak 5""",N/A,N/A,Red Oak,Stabilitek - HDF,Red Oak,High,No,Yes,Yes,Yes,Glue,Smooth,Rustic,Nail / Staple / Glue / Float,Above / On / Below,35MC,3,Micro Bevel Edge,Micro Bevel Ends,20%,ScufResist Platinum,Brown,Medium,No,"1/16""",1.2mm,Rotary,"3/8""",8.2mm,"5""","Random lengths from 10"" to 58.5""",34.5,2070,Random,Lifetime,50 Year,5 Year,5 Year,23.66,60,1419.6,20,"59"" x 10 3/4"" x 2""","62"" x 44"" x 40.5""",190402010476,SFR18,SRO18,SFS18,SSO18,N/A,SCR18,SWTM8,SQTR8,HFR18,HRO18,HFS18,HSO18,N/A,HCR18,HWTM8,HQTR8,"SW581 - Albright Oak 3.25""","HW581 - All In II 3.25"""
Duras / Epic Plus,Epic+,Y,Q4 2016,USA,W2,"3/8"" x 5"" Engineered Smooth Oak",A,0294W,874,SW582,"Albright Oak 5""",874,Hazelnut,HW582,"All In II 5""",874,Hazelnut,SA490,"Arden Oak 5""",N/A,N/A,Red Oak,Stabilitek - HDF,Red Oak,High,No,Yes,Yes,Yes,Glue,Smooth,Rustic,Nail / Staple / Glue / Float,Above / On / Below,35MC,3,Micro Bevel Edge,Micro Bevel Ends,20%,ScufResist Platinum,Brown,Medium,No,"1/16""",1.2mm,Rotary,"3/8""",8.2mm,"5""","Random lengths from 10"" to 58.5""",34.5,2070,Random,Lifetime,50 Year,5 Year,5 Year,23.66,60,1419.6,20,"59"" x 10 3/4"" x 2""","62"" x 44"" x 40.5""",190402010483,SFR18,SRO18,SFS18,SSO18,N/A,SCR18,SWTM8,SQTR8,HFR18,HRO18,HFS18,HSO18,N/A,HCR18,HWTM8,HQTR8,"SW581 - Albright Oak 3.25""","HW581 - All In II 3.25"""
Duras / Epic Plus,Epic+,Y,Q4 2016,USA,W2,"3/8"" x 5"" Engineered Smooth Oak",A,0294W,938,SW582,"Albright Oak 5""",938,Coffee Bean,HW582,"All In II 5""",938,Coffee Bean,SA490,"Arden Oak 5""",N/A,N/A,Red Oak,Stabilitek - HDF,Red Oak,High,No,Yes,Yes,Yes,Glue,Smooth,Rustic,Nail / Staple / Glue / Float,Above / On / Below,35MC,3,Micro Bevel Edge,Micro Bevel Ends,20%,ScufResist Platinum,Brown,Dark,No,"1/16""",1.2mm,Rotary,"3/8""",8.2mm,"5""","Random lengths from 10"" to 58.5""",34.5,2070,Random,Lifetime,50 Year,5 Year,5 Year,23.66,60,1419.6,20,"59"" x 10 3/4"" x 2""","62"" x 44"" x 40.5""",190402010490,SFR18,SRO18,SFS18,SSO18,N/A,SCR18,SWTM8,SQTR8,HFR18,HRO18,HFS18,HSO18,N/A,HCR18,HWTM8,HQTR8,"SW581 - Albright Oak 3.25""","HW581 - All In II 3.25"""
