 Warranty","Commercial
 Warranty",Profile/Builder,Profile/Retail,Finish,Locking System,Installation Method,Product Construction,Marketing Pad Name,Attached Pad,Product UPC Code,Baby Threshold Style #,Multi-Purpose Reducer Style #,Multi-Purpose Reducer Style #,T-Molding Style #,T Molding Style #,"Omni Trim Multi purpose reducer - 94""",Qtr Round Style #,Overlap StairNose Style #,Flush StairNose Style #,Square StairNose,Round Stair Tread,Square Stair Tread,Treadz Center,Treadz Right,Treadz Left,Stair Riser
Q3 2021,ALLEGIANCE PLUS ACCENT SPC,CHAPMAN,P016Z,ALLEGIANCE PLUS ACCENT SPC,7067,CHAPMAN,2019V,Allegiance+Acc,7067,Chapman,A,FLOORTE PRO,L,Brown,,All-Over Emboss,Elka Oak,,,VE457,PRIDE PLUS ACCENT SPC,,,,,48.5,7.5,2.25,50,42,,2763.63,USA,MANUFACTURED,7.09,48.03,7,48,1,5,3/16,34,9,21.25,"1,700.00",80,15,20,0.02,0.51,,YES,YES,YES,,LIFETIME,10 YEAR LIGHT COMMERCIAL,,ACCENT BEVEL,SCUFF RESIST PLATNIUM,FOLD-N-TAP,FLOAT,SPC,,YES,190402353528,BT3NS,,RD3NS,,TM3NS,,QTRNS,,FS4NS,,TR1HS,,,,,LVWRI
Q3 2021,ALLEGIANCE PLUS ACCENT SPC,RYMAN,P016Z,ALLEGIANCE PLUS ACCENT SPC,7068,RYMAN,2019V,Allegiance+Acc,7068,Ryman,A,FLOORTE PRO,L,Brown,,All-Over Emboss,Elka Oak,,,VE457,PRIDE PLUS ACCENT SPC,,,,,48.5,7.5,2.25,50,42,,2763.63,USA,MANUFACTURED,7.09,48.03,7,48,1,5,3/16,34,9,21.25,"1,700.00",80,15,20,0.02,0.51,,YES,YES,YES,,LIFETIME,10 YEAR LIGHT COMMERCIAL,,ACCENT BEVEL,SCUFF RESIST PLATNIUM,FOLD-N-TAP,FLOAT,SPC,,YES,190402353535,BT3NS,,RD3NS,,TM3NS,,QTRNS,,FS4NS,,TR1HS,,,,,LVWRI
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1 2022,ASCENT Natural Bevel,Sierra,V2832,ASCENT Natural Bevel,931,Sierra,2832V,ASCENT,931,Sierra,A,FLOORTE CLASSIC,M,BIEGE,Dark,EIR,Oak,,,VE460,VANTAGE POINT,,,,,72.83,9.37,2.13,73.43,38.58,4.72,2231.53,CHINA,PURCHASED,8.85,72.04,9,72,1.5,8,5/16,43.65,6,26.56,1381.12,52,12,20,0.02,0.51,8,Yes,Yes,Yes,,LIFETIME,10 YEAR LIGHT COMMERCIAL,,Natural Bevel,SCUFF RESIST PLATNIUM,FOLD-N-TAP,Float or Glue,WPC,,YES,190402364494,BT7HS,,RD7HS,,TM7HS,,QTRHS,N/A,FS7HS,,TR1HS,,,,,LVWRI
Q1 2022,ASCENT Natural Bevel,Alpine,V2832,ASCENT Natural Bevel,1134,Alpine,2832V,ASCENT,1134,Alpine,A,FLOORTE CLASSIC,M,BIEGE,Light,EIR,Larch,,,VE460,VANTAGE POINT,,,,,72.83,9.37,2.13,73.43,38.58,4.72,2231.53,CHINA,PURCHASED,8.85,72.04,9,72,1.5,8,5/16,43.65,6,26.56,1381.12,52,12,20,0.02,0.51,8,Yes,Yes,Yes,,LIFETIME,10 YEAR LIGHT COMMERCIAL,,Natural Bevel,SCUFF RESIST PLATNIUM,FOLD-N-TAP,Float or Glue,WPC,,YES,190402364401,BT7HS,,RD7HS,,TM7HS,,QTRHS,N/A,FS7HS,,TR1HS,,,,,LVWRI
Q1 2022,ASCENT Natural Bevel,Tundra,V2832,ASCENT Natural Bevel,1135,Tundra,2832V,ASCENT,1135,Tundra,A,FLOORTE CLASSIC,M,BIEGE,Light,EIR,Oak,,,VE460,VANTAGE POINT,,,,,72.83,9.37,2.13,73.43,38.58,4.72,2231.53,CHINA,PURCHASED,8.85,72.04,9,72,1.5,8,5/16,43.65,6,26.56,1381.12,52,12,20,0.02,0.51,8,Yes,Yes,Yes,,LIFETIME,10 YEAR LIGHT COMMERCIAL,,Natural Bevel,SCUFF RESIST PLATNIUM,FOLD-N-TAP,Float or Glue,WPC,,YES,190402364418,BT7HS,,RD7HS,,TM7HS,,QTRHS,N/A,FS7HS,,TR1HS,,,,,LVWRI
Q1 2022,ASCENT Natural Bevel,Wander,V2832,ASCENT Natural Bevel,1136,Wander,2832V,ASCENT,1136,Wander,A,FLOORTE CLASSIC,M,BIEGE,Light,EIR,Oak,,,VE460,VANTAGE POINT,,,,,72.83,9.37,2.13,73.43,38.58,4.72,2231.53,CHINA,PURCHASED,8.85,72.04,9,72,1.5,8,5/16,43.65,6,26.56,1381.12,52,12,20,0.02,0.51,8,Yes,Yes,Yes,,LIFETIME,10 YEAR LIGHT COMMERCIAL,,Natural Bevel,SCUFF RESIST PLATNIUM,FOLD-N-TAP,Float or Glue,WPC,,YES,190402364456,BT7HS,,RD7HS,,TM7HS,,QTRHS,N/A,FS7HS,,TR1HS,,,,,LVWRI
Q1 2022,ASCENT Natural Bevel,Escape,V2832,ASCENT Natural Bevel,2069,Escape,2832V,ASCENT,2069,Escape,A,FLOORTE CLASSIC,M,BIEGE,Light,EIR,Oak,,,VE460,VANTAGE POINT,,,,,72.83,9.37,2.13,73.43,38.58,4.72,2231.53,CHINA,PURCHASED,8.85,72.04,9,72,1.5,8,5/16,43.65,6,26.56,1381.12,52,12,20,0.02,0.51,8,Yes,Yes,Yes,,LIFETIME,10 YEAR LIGHT COMMERCIAL,,Natural Bevel,SCUFF RESIST PLATNIUM,FOLD-N-TAP,Float or Glue,WPC,,YES,190402364425,BT7HS,,RD7HS,,TM7HS,,QTRHS,N/A,FS7HS,,TR1HS,,,,,LVWRI
Q1 2022,ASCENT Natural Bevel,Lodge,V2832,ASCENT Natural Bevel,2070,Lodge,2832V,ASCENT,2070,Lodge,A,FLOORTE CLASSIC,M,BIEGE,Medium,EIR,Larch,,,VE460,VANTAGE POINT,,,,,72.83,9.37,2.13,73.43,38.58,4.72,2231.53,CHINA,PURCHASED,8.85,72.04,9,72,1.5,8,5/16,43.65,6,26.56,1381.12,52,12,20,0.02,0.51,8,Yes,Yes,Yes,,LIFETIME,10 YEAR LIGHT COMMERCIAL,,Natural Bevel,SCUFF RESIST PLATNIUM,FOLD-N-TAP,Float or Glue,WPC,,YES,190402364432,BT7HS,,RD7HS,,TM7HS,,QTRHS,N/A,FS7HS,,TR1HS,,,,,LVWRI
Q1 2022,ASCENT Natural Bevel,Journal,V2832,ASCENT Natural Bevel,5179,Journal,2832V,ASCENT,5179,Journal,A,FLOORTE CLASSIC,M,BIEGE,Medium,EIR,Oak,,,VE460,VANTAGE POINT,,,,,72.83,9.37,2.13,73.43,38.58,4.72,2231.53,CHINA,PURCHASED,8.85,72.04,9,72,1.5,8,5/16,43.65,6,26.56,1381.12,52,12,20,0.02,0.51,8,Yes,Yes,Yes,,LIFETIME,10 YEAR LIGHT COMMERCIAL,,Natural Bevel,SCUFF RESIST PLATNIUM,FOLD-N-TAP,Float or Glue,WPC,,YES,190402364449,BT7HS,,RD7HS,,TM7HS,,QTRHS,N/A,FS7HS,,TR1HS,,,,,LVWRI
